Query,Prompt Type
Chi era il padre di Micerino ?,General
Il figlio di Chefren,General
Il padre di Micerino,General
Micerino,General
Quanto e alta la tomba di Cheope?,General
Si e scoperto il padre di Micerino?,General
quali sono le regole principali della pallavolo,General
quanti leopardi delle nevi sono rimasti,General
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General
Come si costruivano le piramidi Egizie?,General
Dove si trova la piramide di Cheope?,General
FANTASMA DELLE MONTAGNE,General
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General
Quale e la piramide egizia piu` alta ?,General
Quanto era alta la tomba del padre di Micerino?,General
quanto Ã¨ alta la tomba del padre di micerino,General
quanto Ã¨ alta la tomba del padre micerino,General
quanto Ã¨ alta la tomba di Chefren,General
quanto Ã¨ alta la tomba di micerino,General
quanto Ã©l alta la tomba di micerino,General
regioni italÃ©8iane con piu` squadre di pallavolo,General
tre animali a rischio di estinzione,General
tre animali a rischio estinzione,General
tre animali in via di estinzione,General
trova 3 animali a rischio di estinzione,General
un bambino sano quanto pasti fa al giorno,General
un fantasma delle montagne foto,General
vulcano attivo piu atlantico,General
wwf in via di estinzione,General
zigurat,General
i vantaggi della dieta mediterranea,General
il leopardo delle nevi e invertebrato o vertebrato,General
chi era san giuseppe,General
come e nata la festa del papa,General
come possiamo aiutare gli animali in estinzione,General
come si formano i vulcani,General
come si localizza un punto su una mappa,General
come si sviluppa un tornado,General
come si sviluppa un tornado e i suoi effetti,General
come si trova un punto su una mappa,General
come viene classificato il leopardo delle nevi,General
cosa possiamo fare per aiutare le specie in estinzione,General
cosa possiamo fare per aiutare le specie in via di estinzione,General
il mostro nero e un tornado,General
il mostro nero tornado che cos Ã¨,General
quali cibi forniscono carboidrati,General
quali sono due ingredienti del dolce tipico della festa del papa,General
quali sono gli altri nomi del tornado,General
quali sono i tipi di eruzione,General
quali sono le coordinate geografiche,General
quali sono le regole del basket,General
quali sono le regole del tennis,General
quando e nato il tennis,General
quanti esemplari di leopardo delle nevi sono rimasti,General
quanti esemplari rimangono di leopardo delle nevi,General
quanti giocatori ci sono in ogni squadra di basket,General
quanti sono i fantasmi delle montagne,General
tre animal a rischio estinzione,General
trova tre animali a rischio di estinzione,General
velociraptor dove e quando e vissuto,General
esemplari fantasma delle montagne,General
leopardo delle nevi,General
leopardo delle nevi classificazione,General
altri nomi del tornado,General
animali a rischio di estinzione,General
azioni per evitare estinzione degli animali,General
che velcitÃ  puÃ² raggiungere un tornado,General
come aiutare gli animali in via di estinzion^?,General
come aiutare gli animali in via di estinzione?,General
come aiutare le specie in estinzione,General
come aiutare le specie in estinzione focus,General
come possiamo aiutare le specie in pericolo,General
come possiamo salvare gli animali quasi estinti,General
come si forma un tornado,General
la classificazione del leopardo delle nevi,General
mostro nero,General
qual Ã¨ il vulcano attivo piÃ¹ antico,General
quale tipologia di eruzione provoca piÃ¹ danni?,General
quali animali sono in via di estinzione,General
quali sono gli esemplari rimasti di fantasma ...,General
quando Ã¨ avvenuto il mostro nero,General
quante specie di leopardi delle nevi esistono,General
quanti esemplari sono rimasti di fantasma del...,General
quanti sono gli esemplari di leopardo delle nevi,General
quanti sono gli esemplari rimasti di fantasma ...,General
sinonimi del tornado,General
tigre bianca,General
velocitÃ  massima del tornado,General
velocitÃ  massima di un tornado,General
3 animali in estinzione,General
classificazione del leopardo delle nevi,General
classificazione leopardo delle nevi,General
come aiutarele specie in estinzione,General
come possiamo aiutare le specie in estinzione,General
come si chiama Monica,General
come si formano i vulcani?,General
come si trovano i vulcani?,General
come viene classificato il leopardo delle nevi?,General
cosa possiamo fare per aiutare le specie in es...,General
sviluppo di un tornado e i suoi effetti,General
tipo di eruzione piÃ¹ dannoso,General
tornado,General
tornado mostro nero,General
tornado veloce,General
tornado velocita,General
tornado velocita mostro nero,General
velocita tornado,General
vulcani tipologia di eruzioni danni,General
vulcano attivo antico,General
vulcano piÃ¹ antico attivo,General
 le conseguenze negative della distruzione della foresta amazzonica,Emotionally Charged
Dove si trova l isola di plastica,Emotionally Charged
Dove si trova l isola di plastica ,Emotionally Charged
I ghiacciai in via di estinzione,Emotionally Charged
Il ghiacciaio piÅ« in via di estinzione,Emotionally Charged
Le regole per tenere le spiagge pulite,Emotionally Charged
Le regole per tenere le spiagge pulite ,Emotionally Charged
Le spiagge piÅ« piÃ¹ pulite,Emotionally Charged
Quale nome si usa per definire una personache ha a cuore l,Emotionally Charged
perchÃ© gli orsi polari si stanno estinguendo,Emotionally Charged
perchÃ© gli orsi polari si stanno estinguendo ,Emotionally Charged
perchÃ© gli orsi polari si stanno estinguendo sito babbanas,Emotionally Charged
BiodiversitÃ¡,Emotionally Charged
CosÃ© il buco nel azono,Emotionally Charged
Dove si trova lisola di plastica,Emotionally Charged
Perche gli orsi polari diminuen,Emotionally Charged
Quanto psa lisola di plastica,Emotionally Charged
Temperature estivepiu elevate del 2019,Emotionally Charged
Cose il buco nello zono?,Emotionally Charged
Isola di plastica posto,Emotionally Charged
Isola diplastica cosÃ¨,Emotionally Charged
Lisola di plastica cosa Ã¨,Emotionally Charged
Nomi spiagge bandiera pulizia,Emotionally Charged
PerchÃ¨ gli orsi polari diminuiscono?,Emotionally Charged
Peso bottiglia di plastica   ,Emotionally Charged
Quale ghiacciaio si sta sciogliendosi in modo preoccupante,Emotionally Charged
Spiagge con la bandiera della pulizia,Emotionally Charged
 3 Spiagge con bandiera blu,Emotionally Charged
Spiagge con bandiera blu,Emotionally Charged
Temperature estive superano quelle misurate nel 2019,Emotionally Charged
spiagge bandiera blu 2019,Emotionally Charged
spiagge bandiera blu 2019 molise,Emotionally Charged
Regole per tenere pulite le spiagge,Emotionally Charged
 Spiagge con bandiera b,Emotionally Charged
 Spiagge con bandiera blu,Emotionally Charged
 Spiagge con bandiera della loro pulizia,Emotionally Charged
 Spiagge con bandiera di certificazione della loro pulizia,Emotionally Charged
Causa della riduzione del lago aral,Emotionally Charged
Isola di plastica,Emotionally Charged
Spiagge con certificazione di pulizia ,Emotionally Charged
Anno con temperature piÃ¹ alte,Emotionally Charged
Anno con temperature piÃ¹ alte ,Emotionally Charged
PerchÃ¨ gli orsi polari stanno diminuendo drasticamente di numero,Emotionally Charged
Quale nome si usa per definire una persona che ha a cuore ambiente,Emotionally Charged
Conseguenze negative della distruzione della foresta amazzonica,Emotionally Charged
Cosa Ã¨ Ä¾isola di plastica,Emotionally Charged
Di cosa si occupa il WWF ?,Emotionally Charged
Dove si trova Ä¾isola di plastica Cosa Ã¨,Emotionally Charged
netflix,Emotionally Charged
 persona che rispetta la natura,Emotionally Charged
Qual Ã¨ la causa della riduzione del lago Aral,Emotionally Charged
Quale nome si usa per definire una persona che ha a cuore l,Emotionally Charged
Cosa Ã¨  Ocean  Cleanup,Emotionally Charged
Dove si trova Äº isola di plastica,Emotionally Charged
QuaÄº Ã¨ la causa della riduzione del lago aral,Emotionally Charged
cos e la biodiversitÃ ,Emotionally Charged
Cosa Ã¨ ocean cleanup? Ita,Emotionally Charged
Cosa Ã¨ ocean cleanup? Italino,Emotionally Charged
Dove si trova Ä¾isola di plastica?,Emotionally Charged
Quali sono le regole per tenere le spiagge pulite ?,Emotionally Charged
di cosa si occupa il wwf,Emotionally Charged
Di cosa si occupa il WWF?,Emotionally Charged
Cosa Ã¨ Ocean Cleanup ?,Emotionally Charged
Quali sono le regole per tenere le spiagge pulite?,Emotionally Charged
Di cosa si occupa la WWF,Emotionally Charged
Cosa Ã¨ ocean cleanup?,Emotionally Charged
